NombrePromocion;CodigoPromocion;NombreIngrediente;CodigoIngrediente;Costo;Ganancia.;Precio;Cantidad
test;4381;AQUARIUS NARANJA 1.5 CM3;7790895641237;293,33;23;361;1
test;4381;BOTELLITAS LICORITAS FELFORT;7790206007301;71,56;40;100;1
test;4381;AQUARIUS NARANJA 1.5 CM3;7790895641237;293,33;23;361;1
"Branca Menta 750 oferta ""NO VENDER""";3462;AQUARIUS MANZANA 1.5 CM3;7790895640483;293,33;23;361;1
FERNET BRANCA 750 + COCA COLA 3L + HIELO X1200 COMBO BRANCA;2300;FERNET BRANCA 750CC unico;7790290101602;638;30,2507837;831;1
FERNET BRANCA 750 + COCA COLA 3L + HIELO X1200 COMBO BRANCA;2300;COCA COLA 3 LT;7790895006418;258,33;11,72722006;289;1
FERNET BRANCA 750 + COCA COLA 3L + HIELO X1200 COMBO BRANCA;2300;HIELO 3 KG MILENIUM;2299;63;26,98412698;80;1
FERNET BRANCA 1 LITRO + COCA COLA 3L + HIELO X1460 COMBO BRANCA;2301;FERNET BRANCA 1LT unico;7790290000523;923,65;19,09272993;1100;1
FERNET BRANCA 1 LITRO + COCA COLA 3L + HIELO X1460 COMBO BRANCA;2301;COCA COLA 3 LT;7790895006418;258,33;8,388495335;280;1
FERNET BRANCA 1 LITRO + COCA COLA 3L + HIELO X1460 COMBO BRANCA;2301;HIELO 3 KG MILENIUM;2299;63;26,98412698;80;1
SMIRNOFF SAB + CEPITA 1.5 LITROS combo smirnoff;2302;VODKA SMIRNOFF MANZANA 700CC;7791250001857;759;19,89459816;910;1
SMIRNOFF SAB + CEPITA 1.5 LITROS combo smirnoff;2302;JUGO CEPITA NARANJA  X 1.5 L;7790895641800;176;19,31818182;210;1
DR LEMON  2 OFERTA PROMO;2303;DR LEMON VODKA 1LT;7790950131918;212,78;22,22222222;260;2
PROMO CHACABUCO X 3 VIOG+MALB+DULCE;3276;VINO CHACABUCO DULCE NATURAL;7791843013441;550;21,21212121;667;1
PROMO CHACABUCO X 3 VIOG+MALB+DULCE;3276;VINO CHACABUCO MALBEC;7791843011393;310;21,21212121;376;1
SMIRNOFF + 3 REAKTOR 500cc;3235;ENERGIZANTE REAKTOR X 500 ML;7795176771542;87,5;14,28571429;100;3
SMIRNOFF + 3 REAKTOR 500cc;3235;VODKA SMIRNOFF MANZANA 700CC;7791250001857;759;19,89459816;910;1
FERNET LITRO - COCA 2.25 - HIELO 3KG X640;3255;FERNET BRANCA 1LT unico;7790290000523;923,65;19,25428334;1101;1
FERNET LITRO - COCA 2.25 - HIELO 3KG X640;3255;COCA COLA 2.25 L;7790895000997;234,66;20;282;1
0;3274;CERVEZA BRAHMA LATA 473 CC;7792798005888;110,54;19,02857143;132;6
PROMO ONLINE BRAHAMA 3 L X $200;3273;CERVEZA BRAHMA 1L;7792798007493;235,34;14,94827586;271;3
SMIRNOFF + 3 SPEED GRANDES combo smirnoff;2309;VODKA SMIRNOFF MANZANA 700CC;7791250001857;759;19,89459816;910;1
SMIRNOFF + 3 SPEED GRANDES combo smirnoff;2309;ENERGIZANTE SPEED 473 ML;7798119220183;137;16,78832117;160;3
PROMO CHACABUCO X 3 VIOG+MALB+DULCE;3276;VINO CHACABUCO VIOGNER;7791843011881;100;21,21212121;121;1
Brahma CAJON Promo semanal;3278;CERVEZA BRAHMA 1L;7792798007493;235,34;11,02402821;261;12
CARPANO BIANCO + SPRITE 1.5 PROMO;3504;SPRITE 1.5 LITROS PLASTICO;7790895000447;184,37;13,90139394;210;1
01/02/2001;2313;VINO QUARA MALBEC;7791690709030;240;25;300;1
01/02/2001;2313;VINO QUARA CABERNET SUAV;7791690709078;240;25;300;1
FERNET BRANCA 750 + COCA  1.5 L COMBO BRANCA;2314;FERNET BRANCA 750CC unico;7790290101602;638;22,42847875;781;1
FERNET BRANCA 750 + COCA  1.5 L COMBO BRANCA;2314;COCA COLA PLASTICO 1.5 LT;7790895000430;163,33;16,47606946;190;1
FERNET BRANCA 450 + COCA COLA 1.5 L COMBO BRANCA;2315;FERNET BRANCA 450CC unico;7790290001179;373;18,05965485;440;1
FERNET BRANCA 450 + COCA COLA 1.5 L COMBO BRANCA;2315;COCA COLA PLASTICO 1.5 LT;7790895000430;163,33;14,00456018;186;1
CAMPARI 750CC + CEPITA 1.5;2316;APERITIVO CAMPARI X750CC;7891136052000;741,12;20,08851468;890;1
CAMPARI 750CC + CEPITA 1.5;2316;JUGO CEPITA NARANJA  X 1.5 L;7790895641800;176;19,31818182;210;1
2 RENA + 2 SPEED GRANDES;2317;CHAMPAGNE RENAISSANCE;7798167890017;263,33;23,41928379;325;2
2 RENA + 2 SPEED GRANDES;2317;ENERGIZANTE SPEED 473 ML;7798119220183;137;24,08759124;170;2
CARPANO X 2 OFERTA;2318;VERMOUTH CARPANO ROSSO X950CC;7790290008192;170;47,05882353;250;2
Dilema BLANCO DULCE x 2 PROMO ONLINE;3272;VINO DILEMA BLANCO DULCE 750ML;7790314001475;275;21,60898036;334;2
FERNET LITRO - COCA 2.25 - HIELO 3KG X640;3255;HIELO 3 KG MILENIUM;2299;63;33,33333333;84;1
VODKA BOLS + CEPITA 1.5L;2320;VODKA BOLS MANGO MARACUYA X750;7798131200927;527;19,51219512;630;1
VODKA BOLS + CEPITA 1.5L;2320;JUGO CEPITA NARANJA  X 1.5 L;7790895641800;176;19,31818182;210;1
SMIRNOFF + 4 SPEED combo smirnoff;2321;VODKA SMIRNOFF MANZANA 700CC;7791250001857;759;19,89459816;910;1
SMIRNOFF + 4 SPEED combo smirnoff;2321;SPEED LATA CHICA;7798119220015;80,2;24,6882793;100;4
BOLS + 2 SPEED CHICOS;2322;VODKA BOLS MANGO MARACUYA X750;7798131200927;527;19,51219512;630;1
BOLS + 2 SPEED CHICOS;2322;SPEED LATA CHICA;7798119220015;80,2;24,6882793;100;2
BOLS + 3 BLOCK;2323;VODKA BOLS MANGO MARACUYA X750;7798131200927;527;19,51219512;630;1
BOLS + 3 BLOCK;2323;ENERGIZANTE BLOCK X 500CC;7798119220107;75;20;90;3
CAMPARI 1 L. + CITRIC 1.5 L.;2324;CITRIC NARANJA 1.5 L.;7798085681483;300;20;360;1
CAMPARI 1 L. + CITRIC 1.5 L.;2324;APERITIVO CAMPARI  1 L;7791200000640;729;20,7133059;880;1
01/02/2001;2330;VINO SANTA FLORENTINA MALBEC;7790265001081;87;18,2188362;103;1
01/02/2001;2330;VINO SANTA FLORENTINA MALBEC SYRAH;7790265057361;87;18,2188362;103;1
01/02/2001;2331;VINO QUEBRADA  FLECHAS MALBEC - VIDELA;7798162930015;450;20,61403509;543;1
01/02/2001;2331;VINO QUEBRADA  FLECHAS MALBEC - VIDELA;7798162930015;450;20,61403509;543;1
RENA + 2 SPEED CHICOS;3001;CHAMPAGNE RENAISSANCE;7798167890017;263,33;21,52052558;320;1
RENA + 2 SPEED CHICOS;3001;SPEED LATA CHICA;7798119220015;80,2;24,6882793;100;2
SMIRNOFF + CITRIC 1.5 combo smirnoff;3002;VODKA SMIRNOFF MANZANA 700CC;7791250001857;759;19,93620415;910;1
SMIRNOFF + CITRIC 1.5 combo smirnoff;3002;CITRIC NARANJA 1.5 L.;7798085681483;300;20;360;1
VODKA VARSOVIA + 3 REACKTOR;3254;VODKA VARSOVIA  RASPBERRY;7798159948368;300;21,875;366;1
QUILMES FARDO OFERTA X24;3243;CERVEZA QUILMES LATA GRANDE 473CC;7792798012923;89,16;10,73825503;99;24
PUNT E MES 2 X160 OFERTA;3004;VERMOUTH PUNT E'MES X750CC;7790290007195;177;7900;14160;2
CERVEZA QUILMES  COMBO 1 L.X 2;3005;CERVEZA QUILMES CRISTAL  X 1 L;7792798007387;243,2;15,13157895;280;2
01/02/2001;3006;VINO VIÑA DE BALBO;7791843008294;200;22,72950417;245;2
0;3072;ENERGIZANTE BLOCK X 500CC;7798119220107;75;20;90;1
GANCIA 950cc CON SPRITE 1.5 PROMO COMBO;3007;APERITIVO GANCIA X950CC;7790950000160;345;21,73913043;420;1
GANCIA 950cc CON SPRITE 1.5 PROMO COMBO;3007;SPRITE 1.5 LITROS PLASTICO;7790895000447;184,37;8,477518034;200;1
SKYY SABORIZADO + 3 SPEED XL 500;3116;VODKA SKYY PASSION FRUIT X750CC;7791200200613;910;19,23076923;1085;1
VODKA BOLS + 2 LATAS SPEED XL 500CC;3115;ENERGIZANTE SPEED 473 ML;7798119220183;137;20,4379562;165;2
VODKA BOLS + 2 LATAS SPEED XL 500CC;3115;VODKA BOLS DURAZNO 750 CC;7791200001012;527;19,51219512;630;1
Fernet Branca 750 + Coca Cola 2.25 COMBO BRANCA x520;3066;HIELO 3 KG MILENIUM;2299;63;42,85714286;90;1
VODKA VARSOVIA + 3 REACKTOR;3254;ENERGIZANTE REAKTOR X 500 ML;7795176771542;87,5;28,44465203;112;3
0;3072;VODKA NEW STYLE FRUTOS ROJOS;7798135762919;349;20;419;1
SKYY SAB + 4 SPEED CHICOS;3017;VODKA SKYY RASPBERRY 750CC;7791200200583;910;19,78021978;1090;1
SKYY SAB + 4 SPEED CHICOS;3017;SPEED FOUR PACK x 4 ok;7798119220053;325;20,0120012;390;1
CARPANO BIANCO + SPRITE 1.5 PROMO;3504;APERITIVO CARPANO BIANCO;3503;150;126,6666667;340;1
Fernet Branca 450 x 2 BRANCA X 2;3086;FERNET BRANCA 450CC unico;7790290001179;373;17,99255336;440;2
RON MALIBU + JUMEX JUGO COMBO;3022;RON MALIBU;89540468709;1190;20;1428;1
RON MALIBU + JUMEX JUGO COMBO;3022;JUGO JUMEX COCO-ANANA;7501013100990;71;15,71428571;82;1
CERVEZA QUILMES 1.2 X2;3381;CERVEZA QUILMES CRISTAL X 1.2 L;7792798008162;256,57;16,92715438;300;2
SKYY SAB. + CEPITA 1.5 L;3081;VODKA SKYY PASSION FRUIT X750CC;7791200200613;910;20,87912088;1100;1
MALTA X CAJA X 24;3028;CERVEZA MALTA SIN ALCOHOL 350 CC;7772115420044;44;25,95918367;55;24
Vodka NEW STYLE SAB. + 3 Block;3073;VODKA NEW STYLE FRUTOS ROJOS;7798135762919;349;20;419;1
ORANJEBOOM X3 + VASO (2 econ + 1 cara);3034;CERVEZA ORANJEBOOM LATA ORIGINAL 500 CC;8718104902343;200;19;238;1
OFERTA DR LEMON XL solo vodka;3039;DR LEMON VODKA 1LT;7790950131918;212,78;7,548387097;229;12
cerveza salta negra  500 OFERTA;3069;CERVEZA SALTA NEGRA X 1 L;7793147000974;210,41;9,865963525;231;1
01/06/2001;3037;PEPSI LATA 354 ML;7791813555025;67,78;25;85;6
ORANJEBOOM X3 + VASO (2 econ + 1 cara);3034;CERVEZA ORANJEBOOM LIMON LATA  500 CC;8718104910461;200;19;238;1
ORANJEBOOM X3 + VASO (2 econ + 1 cara);3034;ORANJEBOOM 12 GRADOS;8718104900110;200;20;240;1
Fernet Branca litro solo lunes volumen;3043;FERNET BRANCA 1LT unico;7790290000523;923,65;8,24742268;1000;6
RON CAPITAN MORGAN + COCA COLA 3 L;3132;CAPITAN MORGAN ORIGINAL;5000299223031;482,4;18,44331641;571;1
FERNET BRANCA X 450CC SOLO LUNES VOLUMEN;3046;FERNET BRANCA 450CC unico;7790290001179;373;8,008232763;403;12
RON CAPITAN MORGAN + COCA COLA 3 L;3132;COCA COLA 3 LT;7790895006418;258,33;27,27272727;329;1
Fernet Branca 750 + Coca Cola 2.25 COMBO BRANCA x520;3066;COCA COLA 2.25 L;7790895000997;234,66;14,28571429;268;1
Fernet Branca 750 + Coca Cola 2.25 COMBO BRANCA x520;3066;FERNET BRANCA 750CC unico;7790290101602;638;21,38208149;774;1
Vodka NEW STYLE SAB. + 3 Block;3073;ENERGIZANTE BLOCK X 500CC;7798119220107;75;20;90;3
SMIRNOFF + 3 BLOCK PROMO combo smirnoff;3074;VODKA SMIRNOFF FRAMBUESA 700CC;7791250001871;759;19,89459816;910;1
SMIRNOFF + 3 BLOCK PROMO combo smirnoff;3074;ENERGIZANTE BLOCK X 500CC;7798119220107;75;20;90;3
SKYY SAB. + CEPITA 1.5 L;3081;JUGO CEPITA DURAZNO DELICIOSO 1.5 L;7790895641534;176;19,31818182;210;1
BRAHAMA 2 X  $ 200;3083;CERVEZA BRAHMA 1L;7792798007493;235,34;19,86096128;282;2
BRAHAMA 1.2 L 2X210;3084;BRAHMA 1.2 L;7792798000838;234;14,73152822;268;2
CERVEZA SALTA 1.2 X 2;3088;CERVEZA SALTA 1.2 L;7793147570118;220,7;17,8069778;260;2
CERVEZA SALTA 1 L X 2;3089;CERVEZA SALTA RUBIA X 1 L;7793147000967;126,73;38,08885031;175;2
SKYY SAB. + 3 BLOCK;3091;VODKA SKYY PASSION FRUIT X750CC;7791200200613;910;20,87912088;1100;1
SKYY SAB. + 3 BLOCK;3091;ENERGIZANTE BLOCK X 500CC;7798119220107;75;20;90;3
SKYY SABORIZADO + 3 SPEED XL 500;3116;ENERGIZANTE SPEED 473 ML;7798119220183;137;20,4379562;165;3
01/01/2001;3119;COCA COLA 3 LT;7790895006418;258,33;20,83333333;312;1
01/01/2001;3119;VODKA SMIRNOFF MANZANA 700CC;7791250001857;759;20;911;1
01/01/2001;3119;HIELO 3 KG MILENIUM;2299;63;25;79;1
01/01/2001;3119;FERNET BRANCA 750CC unico;7790290101602;638;20,75311008;770;1
01/01/2001;3119;ENERGIZANTE SPEED 473 ML;7798119220183;137;20,96774194;166;3
01/02/2001;3122;VINO VIÑA DE BALBO;7791843008294;200;20;240;2
01/02/2001;3122;VINO ESPUMANTE DULCE NEW AGE X750CC;7790703165207;512,43;21,21212121;621;2
01/02/2001;3122;COCA COLA 3 LT;7790895006418;258,33;20;310;1
SERNOVA CLAS + 4 RED BULL 250cc;3126;VODKA SERNOVA CLASICO;7790290101510;469,5;19,27582535;560;1
SERNOVA CLAS + 4 RED BULL 250cc;3126;ENERGIZANTE RED BULL;9002490100070;181,94;15,15151515;210;4
SMIRNOFF CLAS + CEPITA 1.5 L. combo smirnoff;3129;VODKA SMIRNOFF CLASICO 700CC;7791250001345;528;21,21212121;640;1
SMIRNOFF CLAS + CEPITA 1.5 L. combo smirnoff;3129;JUGO CEPITA DURAZNO DELICIOSO 1.5 L;7790895641534;176;19,31818182;210;1
NIKOV + 3 BLOCK;3130;VODKA NIKOV;7790139000066;295,2;22,56973795;362;1
NIKOV + 3 BLOCK;3130;ENERGIZANTE BLOCK X 500CC;7798119220107;75;20;90;3
CUNNINGTON 2.25 CON GIN;3156;CUNNINGTON SIN AZUCAR 2.25 L;7790639003130;128,33;20;154;1
CUNNINGTON 1.5 CON GIN;3157;CUNNINGTON AGUA TONICA 1.5 L;7790639000870;86;15,60693642;99;1
ESTANCIA MENDOZA 1,125 L X 2;3491;VINO EST. MENDOZA CAB-MAL 1,125;7790314066436;310,76;57,14285714;488;2
cerveza salta negra para cofico;3183;CERVEZA SALTA NEGRA 500 ML;7793147570644;176,83;9,949748744;194;12
cerveza salta lata rubia para cofico;3184;CERVEZA SALTA LATA X 473 CC;7793147570347;87,5;10,00251319;96;24
COCA COLA 1,5 l Plastico PROMO 1.5 1,5;3211;COCA COLA PLASTICO 1.5 LT;7790895000430;163,33;25,94458438;206;1
###############################################################################################################################################################################################################################################################;3220;VINO RAZA ARGENTINA MALBEC;7790265002187;1;9900;100;1
PROMO VITTONE LITRO + COCA 3 LITROS;3221;FERNET VITTONE 1LT;7790290000011;181,46;17,93232668;214;1
PROMO VITTONE LITRO + COCA 3 LITROS;3221;COCA COLA 3 LT;7790895006418;258,33;16,66666667;301;1
VODKA ECONO + 3 REAKTOR 500CC;3236;ENERGIZANTE REAKTOR X 500 ML;7795176771542;87,5;14,28571429;100;3
VODKA ECONO + 3 REAKTOR 500CC;3236;VODKA NIKOV;7790139000066;295,2;20;354;1
VODKA BOLS + 3 REAKTOR 500;3237;VODKA BOLS FRUTILLA X750;7791200001043;527;19,51219512;630;1
VODKA BOLS + 3 REAKTOR 500;3237;ENERGIZANTE REAKTOR X 500 ML;7795176771542;87,5;14,28571429;100;3
SERNOVA CLAS. + 3 REAKTOR 500 CC;3238;VODKA SERNOVA CLASICO;7790290101510;469,5;21,34789508;570;1
SERNOVA CLAS. + 3 REAKTOR 500 CC;3238;ENERGIZANTE REAKTOR X 500 ML;7795176771542;87,5;14,28571429;100;3
SKYY + 3 REAKTOR 500 CC;3239;VODKA SKYY PASSION FRUIT X750CC;7791200200613;910;20,87912088;1100;1
SKYY + 3 REAKTOR 500 CC;3239;ENERGIZANTE REAKTOR X 500 ML;7795176771542;87,5;14,28571429;100;3
VODKA ABSOLUT + 3 REAKTOR 500 CC;3240;VODKA ABSOLUT MANDARIN;7312040050758;2204;17,375;2587;1
VODKA ABSOLUT + 3 REAKTOR 500 CC;3240;ENERGIZANTE REAKTOR X 500 ML;7795176771542;87,5;19,29824561;104;3
BUDWEISER LATA FARDO OFERTA X24;3287;CERVEZA BUDWEISER LATA 473 CC;7793147118822;105,21;10,26462396;116;24
BRAHMA LATA FARDO OFERTA X24;3288;CERVEZA BRAHMA LATA 473 CC;7792798005888;110,54;9,904076739;121;24
VODKA SERNOVA Sab + SPRITE 3 L PROMO;3329;VODKA SERNOVA WILD BERRIES 750cc;7790290101527;599;21,86978297;730;1
CAMPARI 750 CC + CITRIC 1.5 L.;3328;CITRIC NARANJA 1.5 L.;7798085681483;300;20;360;1
CAMPARI 750 CC + CITRIC 1.5 L.;3328;APERITIVO CAMPARI X750CC;7891136052000;741,12;19,6969697;887;1
OFERTA SALTA RUBIA 500 ML;3299;CERVEZA SALTA RUBIA 500 ML;7793147570651;176,83;19,04761905;211;1
SERNOVA SAB + 3 SPEED PROMO;3310;VODKA SERNOVA WILD BERRIES 750cc;7790290101527;599;21,86978297;730;1
SERNOVA SAB + 3 SPEED PROMO;3310;ENERGIZANTE SPEED 500 ML;7798119220237;137;16,78832117;160;3
VODKA SERNOVA SABORIZADO + 3 BLOCK 500;3311;VODKA SERNOVA WILD BERRIES 750cc;7790290101527;599;21,86978297;730;1
VODKA SERNOVA SABORIZADO + 3 BLOCK 500;3311;ENERGIZANTE BLOCK X 500CC;7798119220107;75;20;90;3
VODKA SERNOVA SABORIZADO + 3 REAKTOR;3312;VODKA SERNOVA WILD BERRIES 750cc;7790290101527;599;21,86978297;730;1
VODKA SERNOVA SABORIZADO + 3 REAKTOR;3312;ENERGIZANTE REAKTOR X 500 ML;7795176771542;87,5;14,28571429;100;3
VODKA SERNOVA Sab + SPRITE 3 L PROMO;3329;SPRITE 3 LT;7790895064128;250;12;280;1
VINO NOVECENTO 2 X $290;3343;VINO NOVECENTO MALBEC;7790717152002;246,17;15,62998405;285;2
PROMO ESPUMANTE LPQTP 2 X $800;3344;ESPUMANTE LPQTP;7790717153504;260;21,45134356;316;2
Frizze litro x 2 PROMO Frizze;3357;FRIZZE EVOLUTION 1 L;7791540053184;209,16;19,52572194;250;2
TURRONES 2X30;3370;TURRON NAMUR GEORGALOS;7790380003809;11,3;32,74336283;15;2
PROMO 2 BALBO + 1 COCA COLA 3 LTS X820;3374;VINO VIÑA DE BALBO;7791843008294;200;17,27485954;235;2
PROMO 2 BALBO + 1 COCA COLA 3 LTS X820;3374;COCA COLA 3 LT;7790895006418;258,33;12,25951303;290;1
PROMO 2 BALBO + 1 COCA COLA 3 LTS X820;3374;HIELO 3 KG MILENIUM;2299;63;26,98412698;80;1
SMIRNOFF SAB. + REAKTOR 1.5 L;3391;ENERGIZANTE REAKTOR 1.5 L;7795176771559;216,66;20,00369242;260;1
SMIRNOFF SAB. + REAKTOR 1.5 L;3391;VODKA SMIRNOFF MANZANA 700CC;7791250001857;759;19,89459816;910;1
SKYY SAB. + REAKTOR 1.5 L.;3392;VODKA SKYY PASSION FRUIT X750CC;7791200200613;910;20,87912088;1100;1
SKYY SAB. + REAKTOR 1.5 L.;3392;ENERGIZANTE REAKTOR 1.5 L;7795176771559;216,66;20,00369242;260;1
SMIRNOFF CLAS. + REAKTOR 1.5 L;3393;VODKA SMIRNOFF CLASICO 700CC;7791250001345;528;21,21212121;640;1
SMIRNOFF CLAS. + REAKTOR 1.5 L;3393;ENERGIZANTE REAKTOR 1.5 L;7795176771559;216,66;20,00369242;260;1
SKYY CLAS. + REAKTOR 1.5 L.;3394;VODKA SKYY 750 ML;7791200000213;855;21,29760226;1037;1
SKYY CLAS. + REAKTOR 1.5 L.;3394;ENERGIZANTE REAKTOR 1.5 L;7795176771559;216,66;20,00369242;260;1
BOLS + REAKTOR 1.5 L.;3395;VODKA BOLS FRUTILLA X750;7791200001043;527;19,51219512;630;1
BOLS + REAKTOR 1.5 L.;3395;ENERGIZANTE REAKTOR 1.5 L;7795176771559;216,66;20,00369242;260;1
SERNOVA SAB + REAKTOR 1.5 L.;3396;VODKA SERNOVA WILD BERRIES 750cc;7790290101527;599;21,86978297;730;1
SERNOVA SAB + REAKTOR 1.5 L.;3396;ENERGIZANTE REAKTOR 1.5 L;7795176771559;216,66;15,38816579;250;1
SERNOVA CLAS. + REAKTOR 1.5 L.;3397;VODKA SERNOVA CLASICO;7790290101510;469,5;19,27582535;560;1
SERNOVA CLAS. + REAKTOR 1.5 L.;3397;ENERGIZANTE REAKTOR 1.5 L;7795176771559;216,66;20,00369242;260;1
NEW STYLE SAB. + REAKTOR 1.5 L.;3398;VODKA NEW STYLE FRUTOS ROJOS;7798135762919;349;20;419;1
NEW STYLE SAB. + REAKTOR 1.5 L.;3398;ENERGIZANTE REAKTOR 1.5 L;7795176771559;216,66;20,46524508;261;1
NEW STYLE CLAS. + REAKTOR 1.5 L.;3399;VODKA NEW STYLE CLASICO;7790121000555;327;19,26605505;390;1
NEW STYLE CLAS. + REAKTOR 1.5 L.;3399;ENERGIZANTE REAKTOR 1.5 L;7795176771559;216,66;20,00369242;260;1
ABSOLUT SAB + REAKTOR 1.5 L.;3400;VODKA ABSOLUT PEARS;7312040150755;2182;18,65671642;2589;1
ABSOLUT SAB + REAKTOR 1.5 L.;3400;ENERGIZANTE REAKTOR 1.5 L;7795176771559;216,66;22,12605533;265;1
VITTONE 750 + COCA 3 + HIELO;3401;FERNET VITTONE 750CC;7790290101459;290;20,68965517;350;1
VITTONE 750 + COCA 3 + HIELO;3401;COCA COLA 3 LT;7790895006418;258,33;11,72722006;289;1
VITTONE 750 + COCA 3 + HIELO;3401;HIELO 3 KG MILENIUM;2299;63;26,98412698;80;1
CERVEZA SALTA NEGRA LATA X 473 CC FARDO X 24;3402;CERVEZA SALTA NEGRA LATA 473 ML;7793147571344;95,83;6,608;102;24
VODKA SERNOVA  SABORIZADO + 2 SPEED XL;3406;VODKA SERNOVA WILD BERRIES 750cc;7790290101527;599;21,86978297;730;1
VODKA SERNOVA  SABORIZADO + 2 SPEED XL;3406;ENERGIZANTE SPEED 473 ML;7798119220183;137;16,78832117;160;2
SERNOVA CLASICO + 3 SPEED XL;3412;ENERGIZANTE SPEED 473 ML;7798119220183;137;16,78832117;160;3
SERNOVA CLASICO + 3 SPEED XL;3412;VODKA SERNOVA CLASICO;7790290101510;469,5;19,27582535;560;1
SERNOVA CLASICO + 2 SPEED XL;3411;VODKA SERNOVA CLASICO;7790290101510;469,5;19,27582535;560;1
SERNOVA CLASICO + 2 SPEED XL;3411;ENERGIZANTE SPEED 473 ML;7798119220183;137;16,78832117;160;2
Nero 53 + COCA COLA 3 + HIELO;3414;FERNET NERO 53 CLASICO;7798194770016;634;20,91;767;1
Nero 53 + COCA COLA 3 + HIELO;3414;COCA COLA 3 LT;7790895006418;258,33;22,09302326;315;1
Nero 53 + COCA COLA 3 + HIELO;3414;HIELO 3 KG MILENIUM;2299;63;33,33333333;84;1
CARPANO + PASO DE LOS TOROS TONICA;3420;VERMOUTH CARPANO ROSSO X950CC;7790290008192;170;101,7647059;343;1
CARPANO + PASO DE LOS TOROS TONICA;3420;PASO DE LOS TOROS TONICA X 1.5 L;7791813421368;168;11,11111111;187;1
CARPANO + PASO DE LOS TOROS TONICA;3420;HIELO 3 KG MILENIUM;2299;63;11,11111111;70;1
ESPUMANTE AMALAYA OFERTA NO VENDER;3433;CHAMPAGNE AMALAYA BRUT NATURE;7798104760458;690;15,45138889;797;1
2 NOVECENTO + 2 SPEED XL;3434;ESPUMANTE NOVECENTO EXTRA BRUT;7790717152026;407,1;20;489;2
2 NOVECENTO + 2 SPEED XL;3434;ENERGIZANTE SPEED 473 ML;7798119220183;137;24,08759124;170;2
SIDRA DEL VALLE OFERTA X 3 BOTELLAS;3437;SIDRA DEL VALLE 710cc;7790154000652;153;19,83006536;183,34;3
OFERTA NOVIEMBRE 2021 SPEED XL;3439;ENERGIZANTE SPEED 473 ML;7798119220183;137;11,3671275;153;12
SIDRA DEL VALLE ETIQUETA NEGRA X 3 OFERTA;3441;SIDRA DEL VALLE ETIQUETA NEGRA;7790154000669;150;28,88666667;193,33;3
NOVECENTO + 2 SPEED CHICOS;3442;ESPUMANTE NOVECENTO EXTRA BRUT;7790717152026;407,1;22,85714286;500;1
NOVECENTO + 2 SPEED CHICOS;3442;SPEED LATA CHICA;7798119220015;80,2;18,45386534;95;2
promo imperial lager x 24 latas;3453;IMPERIAL LATA LAGER X 473CC;7793147000752;106,25;38,8974359;148;6
SPEED CHICO X VOLUMEN SOLO OFERTA (CONSULTAR);3461;SPEED LATA CHICA;7798119220015;80,2;6,981209711;86;1
"Branca Menta 750 oferta ""NO VENDER""";3462;Fernet Branca Menta  750cc;7790290101473;350;80,86956522;633;6
05/01/2001;3520;VODKA SERNOVA WILD BERRIES 750cc;7790290101527;599;25,23719165;750;1
05/01/2001;3520;JUGO CEPITA NARANJA  X 1.5 L;7790895641800;176;13,63636364;200;1
05/01/2001;3521;VODKA SERNOVA CLASICO;7790290101510;469,5;21,4057508;570;1
05/01/2001;3521;JUGO CEPITA  ANANA X 1.5 L;7790895641749;176;13,63636364;200;1
BANDEJA CERVEZA SCHNEIDER OFERTA CARLITOS;3522;CERVEZA SCHNEIDER LATA 473 CC;7793147118860;89,58;11,9875;100;24
05/01/2001;3524;VERMOUTH CARPANO ROSSO X950CC;7790290008192;170;105,8823529;350;1
05/01/2001;3524;PASO DE LOS TOROS  1.5 LT;7791813421382;168;19,05;200;1
05/01/2001;3525;VERMOUTH PUNT E'MES X750CC;7790290007195;177;125,9887006;400;1
05/01/2001;3525;PASO DE LOS TOROS TONICA X 1.5 L;7791813421368;168;19,05;200;1
05/01/2001;3526;Fernet Branca Menta  750cc;7790290101473;350;100;700;1
05/01/2001;3526;GASEOSA SCHWEPPES AGUA TONICA 1.5 L.;7790895006715;184,37;8,477518034;200;1
